timestamp,pod,cpu,memory
2026-09-03T10:28:25+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,9m,265Mi
2026-09-03T10:28:25+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,9m,249Mi
2026-09-03T10:28:25+08:00,life-assistant-api-gateway-d7fc78bd-6pkw9,9m,250Mi
2026-09-03T10:28:25+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,11m,319Mi
2026-09-03T10:28:25+08:00,life-assistant-frontend-745b598b7c-sdf46,4m,52Mi
2026-09-03T10:28:25+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,17m,297Mi
2026-09-03T10:28:25+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,52m,290Mi
2026-09-03T10:28:25+08:00,life-assistant-merchant-service-76dd444dc-s4zww,25m,282Mi
2026-09-03T10:28:25+08:00,life-assistant-mysql-596766557b-hl5pf,15m,482Mi
2026-09-03T10:28:25+08:00,life-assistant-nacos-5995f55965-l7wq6,9m,584Mi
2026-09-03T10:28:25+08:00,life-assistant-order-service-5c75679647-mngdh,11m,297Mi
2026-09-03T10:28:25+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,4Mi
2026-09-03T10:28:25+08:00,life-assistant-settlement-service-85968c8f84-phmj4,9m,288Mi
2026-09-03T10:28:25+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,45m,299Mi
2026-09-03T10:28:42+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,14m,266Mi
2026-09-03T10:28:42+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,12m,250Mi
2026-09-03T10:28:42+08:00,life-assistant-api-gateway-d7fc78bd-6pkw9,27m,252Mi
2026-09-03T10:28:42+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,8m,320Mi
2026-09-03T10:28:42+08:00,life-assistant-frontend-745b598b7c-sdf46,4m,52Mi
2026-09-03T10:28:42+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,12m,296Mi
2026-09-03T10:28:42+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,28m,284Mi
2026-09-03T10:28:42+08:00,life-assistant-merchant-service-76dd444dc-s4zww,30m,284Mi
2026-09-03T10:28:42+08:00,life-assistant-mysql-596766557b-hl5pf,18m,486Mi
2026-09-03T10:28:42+08:00,life-assistant-nacos-5995f55965-l7wq6,9m,584Mi
2026-09-03T10:28:42+08:00,life-assistant-order-service-5c75679647-mngdh,12m,297Mi
2026-09-03T10:28:42+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,4Mi
2026-09-03T10:28:42+08:00,life-assistant-settlement-service-85968c8f84-phmj4,9m,288Mi
2026-09-03T10:28:42+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,53m,307Mi
2026-09-03T10:29:00+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,20m,266Mi
2026-09-03T10:29:00+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,65m,251Mi
2026-09-03T10:29:00+08:00,life-assistant-api-gateway-d7fc78bd-6pkw9,20m,252Mi
2026-09-03T10:29:00+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,9m,320Mi
2026-09-03T10:29:00+08:00,life-assistant-frontend-745b598b7c-sdf46,5m,52Mi
2026-09-03T10:29:00+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,18m,296Mi
2026-09-03T10:29:00+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,79m,289Mi
2026-09-03T10:29:00+08:00,life-assistant-merchant-service-76dd444dc-s4zww,121m,287Mi
2026-09-03T10:29:00+08:00,life-assistant-mysql-596766557b-hl5pf,16m,482Mi
2026-09-03T10:29:00+08:00,life-assistant-nacos-5995f55965-l7wq6,9m,584Mi
2026-09-03T10:29:00+08:00,life-assistant-order-service-5c75679647-mngdh,15m,297Mi
2026-09-03T10:29:00+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,4Mi
2026-09-03T10:29:00+08:00,life-assistant-settlement-service-85968c8f84-phmj4,12m,288Mi
2026-09-03T10:29:00+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,14m,307Mi
2026-09-03T10:29:17+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,22m,267Mi
2026-09-03T10:29:17+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,13m,251Mi
2026-09-03T10:29:17+08:00,life-assistant-api-gateway-d7fc78bd-6pkw9,21m,253Mi
2026-09-03T10:29:17+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,8m,320Mi
2026-09-03T10:29:17+08:00,life-assistant-frontend-745b598b7c-sdf46,3m,52Mi
2026-09-03T10:29:17+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,14m,296Mi
2026-09-03T10:29:17+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,15m,289Mi
2026-09-03T10:29:17+08:00,life-assistant-merchant-service-76dd444dc-s4zww,12m,287Mi
2026-09-03T10:29:17+08:00,life-assistant-mysql-596766557b-hl5pf,16m,482Mi
2026-09-03T10:29:17+08:00,life-assistant-nacos-5995f55965-l7wq6,12m,585Mi
2026-09-03T10:29:17+08:00,life-assistant-order-service-5c75679647-mngdh,11m,298Mi
2026-09-03T10:29:17+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,4Mi
2026-09-03T10:29:17+08:00,life-assistant-settlement-service-85968c8f84-phmj4,8m,288Mi
2026-09-03T10:29:17+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,25m,307Mi
2026-09-03T10:29:36+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,12m,267Mi
2026-09-03T10:29:36+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,25m,252Mi
2026-09-03T10:29:36+08:00,life-assistant-api-gateway-d7fc78bd-6pkw9,41m,255Mi
2026-09-03T10:29:36+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,8m,320Mi
2026-09-03T10:29:36+08:00,life-assistant-frontend-745b598b7c-sdf46,4m,52Mi
2026-09-03T10:29:36+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,13m,296Mi
2026-09-03T10:29:36+08:00,life-assistant-merchant-service-76dd444dc-6grgl,499m,115Mi
2026-09-03T10:29:36+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,39m,291Mi
2026-09-03T10:29:36+08:00,life-assistant-merchant-service-76dd444dc-9mw4s,499m,117Mi
2026-09-03T10:29:36+08:00,life-assistant-merchant-service-76dd444dc-s4zww,47m,288Mi
2026-09-03T10:29:36+08:00,life-assistant-mysql-596766557b-hl5pf,18m,482Mi
2026-09-03T10:29:36+08:00,life-assistant-nacos-5995f55965-l7wq6,12m,585Mi
2026-09-03T10:29:36+08:00,life-assistant-order-service-5c75679647-mngdh,18m,298Mi
2026-09-03T10:29:36+08:00,life-assistant-redis-c4fcbf6c-r8mhj,11m,4Mi
2026-09-03T10:29:36+08:00,life-assistant-settlement-service-85968c8f84-phmj4,6m,288Mi
2026-09-03T10:29:36+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,29m,307Mi
2026-09-03T10:29:56+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,15m,267Mi
2026-09-03T10:29:56+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,21m,253Mi
2026-09-03T10:29:56+08:00,life-assistant-api-gateway-d7fc78bd-6pkw9,15m,257Mi
2026-09-03T10:29:56+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,18m,320Mi
2026-09-03T10:29:56+08:00,life-assistant-frontend-745b598b7c-sdf46,4m,52Mi
2026-09-03T10:29:56+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,12m,297Mi
2026-09-03T10:29:56+08:00,life-assistant-merchant-service-76dd444dc-6grgl,499m,213Mi
2026-09-03T10:29:56+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,159m,297Mi
2026-09-03T10:29:56+08:00,life-assistant-merchant-service-76dd444dc-9mw4s,500m,198Mi
2026-09-03T10:29:56+08:00,life-assistant-merchant-service-76dd444dc-s4zww,26m,290Mi
2026-09-03T10:29:56+08:00,life-assistant-mysql-596766557b-hl5pf,20m,482Mi
2026-09-03T10:29:56+08:00,life-assistant-nacos-5995f55965-l7wq6,15m,585Mi
2026-09-03T10:29:56+08:00,life-assistant-order-service-5c75679647-mngdh,7m,298Mi
2026-09-03T10:29:56+08:00,life-assistant-redis-c4fcbf6c-r8mhj,12m,4Mi
2026-09-03T10:29:56+08:00,life-assistant-settlement-service-85968c8f84-phmj4,16m,288Mi
2026-09-03T10:29:56+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,13m,308Mi
2026-09-03T10:30:15+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,19m,268Mi
2026-09-03T10:30:15+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,13m,254Mi
2026-09-03T10:30:15+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,8m,320Mi
2026-09-03T10:30:15+08:00,life-assistant-frontend-745b598b7c-sdf46,5m,52Mi
2026-09-03T10:30:15+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,11m,297Mi
2026-09-03T10:30:15+08:00,life-assistant-merchant-service-76dd444dc-6grgl,499m,213Mi
2026-09-03T10:30:15+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,31m,298Mi
2026-09-03T10:30:15+08:00,life-assistant-merchant-service-76dd444dc-9mw4s,501m,240Mi
2026-09-03T10:30:15+08:00,life-assistant-merchant-service-76dd444dc-s4zww,16m,290Mi
2026-09-03T10:30:15+08:00,life-assistant-mysql-596766557b-hl5pf,21m,482Mi
2026-09-03T10:30:15+08:00,life-assistant-nacos-5995f55965-l7wq6,20m,585Mi
2026-09-03T10:30:15+08:00,life-assistant-order-service-5c75679647-mngdh,14m,298Mi
2026-09-03T10:30:15+08:00,life-assistant-redis-c4fcbf6c-r8mhj,10m,4Mi
2026-09-03T10:30:15+08:00,life-assistant-settlement-service-85968c8f84-phmj4,11m,288Mi
2026-09-03T10:30:15+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,16m,308Mi
2026-09-03T10:30:36+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,19m,268Mi
2026-09-03T10:30:36+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,18m,254Mi
2026-09-03T10:30:36+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,9m,320Mi
2026-09-03T10:30:36+08:00,life-assistant-frontend-745b598b7c-sdf46,4m,52Mi
2026-09-03T10:30:36+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,10m,298Mi
2026-09-03T10:30:36+08:00,life-assistant-merchant-service-76dd444dc-6grgl,500m,260Mi
2026-09-03T10:30:36+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,141m,304Mi
2026-09-03T10:30:36+08:00,life-assistant-merchant-service-76dd444dc-9mw4s,499m,286Mi
2026-09-03T10:30:36+08:00,life-assistant-merchant-service-76dd444dc-s4zww,229m,304Mi
2026-09-03T10:30:36+08:00,life-assistant-mysql-596766557b-hl5pf,16m,482Mi
2026-09-03T10:30:36+08:00,life-assistant-nacos-5995f55965-l7wq6,13m,585Mi
2026-09-03T10:30:36+08:00,life-assistant-order-service-5c75679647-mngdh,179m,304Mi
2026-09-03T10:30:36+08:00,life-assistant-redis-c4fcbf6c-r8mhj,11m,4Mi
2026-09-03T10:30:36+08:00,life-assistant-settlement-service-85968c8f84-phmj4,20m,289Mi
2026-09-03T10:30:36+08:00,life-assistant-user-service-8486f4fdc9-d4pf7,16m,309Mi
2026-09-03T10:30:55+08:00,life-assistant-api-gateway-d7fc78bd-48n7m,17m,269Mi
2026-09-03T10:30:55+08:00,life-assistant-api-gateway-d7fc78bd-4xvj4,12m,254Mi
2026-09-03T10:30:55+08:00,life-assistant-engagement-service-5ff9ccfcb9-2fq9n,11m,320Mi
2026-09-03T10:30:55+08:00,life-assistant-frontend-745b598b7c-sdf46,5m,52Mi
2026-09-03T10:30:55+08:00,life-assistant-fulfillment-service-5579cbdf5d-5mjsl,10m,298Mi
2026-09-03T10:30:55+08:00,life-assistant-merchant-service-76dd444dc-6grgl,120m,300Mi
2026-09-03T10:30:55+08:00,life-assistant-merchant-service-76dd444dc-7ldm5,23m,306Mi
2026-09-03T10:30:55+08:00,life-assistant-merchant-service-76dd444dc-9mw4s,83m,296Mi
2026-09-03T10:30:55+08:00,life-assistant-merchant-service-76dd444dc-s4zww,19m,306Mi
2026-09-03T10:30:55+08:00,life-assistant-merchant-service-76dd444dc-tbcq9,495m,78Mi
2026-09-03T10:30:55+08:00,life-assistant-mysql-596766557b-hl5pf,20m,483Mi
2026-09-03T10:30:55+08:00,life-assistant-nacos-5995f55965-l7wq6,11m,585Mi
2026-09-03T10:30:55+08:00,life-assistant-order-service-5c75679647-4rlzq,499m,117Mi
2026-09-03T10:30:55+08:00,life-assistant-order-service-5c75679647-55rtx,490m,61Mi
2026-09-03T10:30:55+08:00,life-assistant-order-service-5c75679647-mngdh,12m,307Mi
2026-09-03T10:30:55+08:00,life-assistant-redis-c4fcbf6c-r8mhj,11m,4Mi
